X_text,X_emb
using,10011011100
different,00100000111
codes,00110111000
able,00000000011
correlator,00101011111
done,01100010110
effects,01100101100
data,00101100011
channel,00110011101
specific,10111001100
data,00101100011
important,01011101001
semantics,10101100111
need,11001000000
features,01111010101
skimming,10101001101
user,10011110010
allow,00001110101
provision,11111000000
valid,10011011011
units,10011100111
download,01100010010
means,11000101000
live,01000001111
webrtc,10001011100
user,10011110010
proper,11111011000
moreover,11001010100
applicable,00001001100
administrator,00001100000
within,10001111101
rental,11100101000
webrtc,10001011100
statistics,10111111111
showsup,10101010010
must,11001011000
api,00001001001
application,00001000100
deduct,00100100100
owner,11010111111
trail,10010010111
avoiding,00011101110
network,11011000111
color,00110101010
data,00101100011
description,00100010001
even,01101011101
specific,10111001100
error,01101010011
state,10111110110
entities,01101110111
changes,00110011110
amount,00001010101
frames,01110101011
delivery,00100111111
button,00010011111
indication,01011010001
must,11001011000
server,10101101000
uc,10010111000
time,10010001101
software,10101000011
using,10011011100
information,01011011111
srs,10111011100
dynamically,01100111111
designed,00100010101
key,01001100110
shall,10101110100
labelled,01000100111
user,10011110010
notified,11011010110
see,10100100101
stop,10111101001
manual,11000110001
service,10101111011
prior,11111111001
much,11001011111
browse,00010010001
paths,11010011001
system,10110010001
required,11100010110
participant,11010010010
based,00010100000
pages,11010110111
protected,11111001100
shall,10101110100
budget,00010010110
police,11110110001
case,00110000110
able,00000000011
making,11000011101
whatdoyouneedtodo,10001010110
actor,00000111111
webrtc,10001011100
meet,11000101100
search,10100111011
pages,11010110111
integration,01001000000
document,01100011101
geographical,01110011011
halal,01010001100
interact,01001000110
overviews,11010111110
iso,01001111111
andor,00001011111
operation,11011100110
information,01011011111
series,10101101001
product,11111010010
users,10011010111
requirements,11100010101
duration,01100111100
every,01101011010
access,00000001101
category,00110001111
owner,11010111111
get,01110011001
data,00101100011
enter,01101111101
conflict,00111010101
use,10011110101
viewer,10011000000
information,01011011111
participant,11010010010
power,11110101010
apply,00001000110
produced,11111010011
different,00100000111
input,01011001111
css,00101111011
results,10100000000
user,10011110010
page,11010110101
data,00101100011
nans,11001001111
maintain,11000001001
used,10011110111
securely,10100101100
replacement,11100111110
x,10001100100
validation,10011011001
files,01111110000
new,11011001100
confuse,00111010100
feature,01111010100
bullet,00010010100
level,01000010001
display,01100001100
experience,01111000001
capabilities,00010001100
notified,11011010110
post,11110111010
concept,00111110011
nontext,11011011110
basic,00010100011
defects,00100101111
check,00110010110
well,10001010111
example,01101001010
database,00101100001
studies,10110100010
supported,10110111100
pros,11111001111
shall,10101110100
able,00000000011
get,01110011001
sets,10101111101
functional,01110010000
access,00000001101
dashed,00101100110
system,10110010001
search,10100111011
solid,10101000001
processing,11111110001
error,01101010011
operating,11011100111
messages,11001100010
pages,11010110111
users,10011010111
interfaces,01001011000
system,10110010001
disk,01100000101
includes,01011111111
type,10010111110
user,10011110010
extensibility,01111001100
profiles,11111011100
description,00100010001
user,10011110010
private,11111111111
support,10110111101
interfaces,01001011000
able,00000000011
amount,00001010101
active,00000110100
use,10011110101
shall,10101110100
post,11110111010
hardware,01010011000
must,11001011000
citizens,00110110110
remove,11100101011
content,00111000000
list,01000011000
corrections,00101011000
two,10010111111
help,01010011010
actual,00000111010
colour,00110101111
case,00110000110
system,10110010001
periodically,11110000000
wait,10001001110
input,01011001111
additionally,00000101101
delete,00100111001
acknowledge,00000010011
app,00001001011
regardless,11101100000
users,10011010111
errors,01101010010
could,00101010101
navigation,11001000110
columns,00110101100
overview,11010111010
execute,01101000101
time,10010001101
required,11100010110
part,11010010001
inside,01011001100
queue,11101001111
functional,01110010000
peers,11010001011
taken,10110011101
less,01000110000
logobarcode,11000000000
system,10110010001
connections,00111011110
like,01000010100
requirement,11100010111
number,11011010011
band,00011100110
bootstrap,00010111111
zero,10001100111
care,00110000000
owner,11010111111
software,10101000011
service,10101111011
shall,10101110100
mobile,11001111101
new,11011001100
modify,11001110010
end,01101101000
lead,01000111110
passwords,11010011010
broadcaster,00010110011
features,01111010101
queue,11101001111
first,01111111001
studies,10110100010
application,00001000100
expected,01111000000
error,01101010011
ensure,01101111111
participant,11010010010
human,01010101000
placed,11110011010
deliver,00100111010
user,10011110010
instantly,01011000110
jqueryajax,01001101111
questions,11101001101
able,00000000011
overflows,11010111000
data,00101100011
media,11000101110
frequency,01110111010
must,11001011000
view,10011000001
possible,11110111111
cctns,00110001011
certain,00110001001
users,10011010111
functionality,01110010011
requirement,11100010111
means,11000101000
communicate,00110100000
user,10011110010
user,10011110010
broadcasting,00010110000
high,01010010110
designing,00100010100
optional,11010100000
set,10101111111
server,10101101000
essys,01101010101
future,01110010100
meeting,11000100100
string,10111100001
unalterable,10010101010
end,01101101000
alerts,00001111110
user,10011110010
backend,00011100100
important,01011101001
older,11011111000
using,10011011100
module,11001110011
request,11100010000
trail,10010010111
makes,11000011111
might,11001101110
list,01000011000
https,01010111000
comparison,00111100101
store,10111101110
must,11001011000
navigation,11001000110
users,10011010111
perlldap,11110000011
clearly,00110110101
external,01111001111
users,10011010111
data,00101100011
make,11000011110
iso,01001111111
broadcaster,00010110011
ppcast,11110101111
requirement,11100010111
operations,11011100011
units,10011100111
contents,00101000000
familiar,01111011110
well,10001010111
draw,01100010000
audit,00011110000
purpose,11101000011
performance,11010000110
responses,11100000100
done,01100010110
presented,11111100101
providing,11111000001
abstracted,00000000110
textual,10010000001
maximum,11000111110
whichever,10001110011
results,10100000000
standard,10111010010
sufficient,10110101011
errors,01101010010
pages,11010110111
one,11011101000
citizens,00110110110
information,01011011111
performance,11010000110
providing,11111000001
processing,11111110001
provide,11111000110
data,00101100011
change,00110011011
taken,10110011101
track,10010011100
exceed,01101001110
want,10001001010
meeting,11000100100
lag,01000100100
uc,10010111000
domain,01100010111
site,10101001001
adaptability,00000111011
age,00001101010
within,10001111101
labels,01000100101
form,01111100000
interface,01001001000
text,10110000001
based,00010100000
websockets,10001010101
minimize,11001111000
priy,11111111100
processing,11111110001
identity,01010100110
shown,10101010001
accessible,00000001010
useful,10011110110
document,01100011101
use,10011110101
piece,11110001001
links,01000011001
opening,11011101111
useful,10011110110
inspection,01011000100
number,11011010011
concerned,00111110001
report,11100110111
compiles,00111101111
interchange,01001001101
code,00110111001
access,00000001101
ee,01100101010
stream,10111100101
line,01000011110
familiar,01111011110
degrade,00100101000
must,11001011000
includes,01011111111
remove,11100101011
information,01011011111
backend,00011100100
mobile,11001111101
case,00110000110
whatever,10001010010
use,10011110101
operations,11011100011
critical,00101111110
distances,01100001011
aips,00001111001
receive,11101110100
also,00001110001
navigation,11001000110
able,00000000011
different,00100000111
performance,11010000110
taking,10110011111
record,11101101011
content,00111000000
time,10010001101
flags,01111101010
rights,10100001001
accessibility,00000001110
repo,11100110101
provide,11111000110
traffic,10010010101
system,10110010001
block,00010101001
happen,01010001000
increase,01011110101
avoiding,00011101110
hisher,01010010001
product,11111010010
structure,10110100000
software,10101000011
output,11010101010
website,10001010100
paper,11010110010
consistently,00111001011
landing,01000101100
streaming,10111100111
delivering,00100111110
unplanned,10011101110
clear,00110110111
shall,10101110100
rescheduling,11100011101
available,00011101000
configuration,00111010010
able,00000000011
single,10101011000
based,00010100000
translatable,10010110000
iso,01001111111
dtls,01100110010
