y_text,y_emb
via website,1001100001010001010100
able provide,0000000001111111000110
deployment many,0010011011011000110010
understanding frequency,1001010001001110111010
used within,1001111011110001111101
application pages,0000100010011010110111
profile demand,1111101010000100111101
constraints sdms,0011100110010100111110
making access,1100001110100000001101
event identified,0110101111101010100100
authentication registration,0001111001011100100011
users abide,1001101011100000000000
ensure system,0110111111110110010001
location product,0100000010011111010010
navigation designed,1100100011000100010101
meetings monitored,1100010010111001010001
data needed,0010110001111011000000
able view,0000000001110011000001
standard defined,1011101001000100101010
connection internet,0011101111101001011101
frames provided,0111010101111111000010
unavailable critical,1001010110100101111110
controls activating,0010100010000000110111
key role,0100110011010100011001
extensibility system,0111100110010110010001
needs match,1101100000111000110100
still stored,1011111100110111101111
post free,1111011101001110111000
personnel search,1111000110010100111011
lot isla,1100000010001001111101
image limit,0101110000001000011101
content consistency,0011100000000111001000
loss information,1100000011101011011111
special needs,1011100010111011000001
get post,0111001100111110111010
create update,0010111011010011111000
limited following,0100001111101111100101
useracceptance application,1001111001100001000100
application user,0000100010010011110010
potential use,1111010100110011110101
automatically capturing,0001111101000010000000
data stored,0010110001110111101111
label avoiding,0100010011000011101110
showing popup,1010101000011110110110
list descriptions,0100001100000100010011
access correspondences,0000000110100101011101
filter product,0111111001011111010010
profiles evident,1111101110001101011001
shall send,1010111010010101100101
equivalents nontext,0110101000111011011110
values along,1001100101100001110011
resolution policies,1110001100011110110011
needed reach,1101100000011101011110
search box,1010011101100010110101
navigation links,1100100011001000011001
management module,1100001001011001110011
operational parameters,1101110001011010110000
institute information,0101100001001011011111
fast soon,0111101110110111000000
spectral results,1011100100010100000000
overall productivity,1101010100111111010110
cctns application,0011000101100001000100
taking action,1011001111100000110011
memory buffer,1100010001000010010111
cannot identified,0001000110101010100100
potential user,1111010100110011110010
stored due,1011110111101100110111
uc description,1001011100000100010001
limit provided,0100001110111111000010
data successfully,0010110001110110101110
place manner,1111001101111000010000
provide useful,1111100011010011110110
without problems,1000111101011111110100
measurement currency,1100010100100101111001
whatdoyouneedtodo basis,1000101011000010100010
number cases,1101101001100110000111
give input,0111000100001011001111
connectivity physical,0011101101011110001010
cannot attend,0001000110100011010011
descriptions andor,0010001001100001011111
interfaces abstracted,0100101100000000000110
set minimal,1010111111111001101001
peers designed,1101000101100100010101
shall store,1010111010010111101110
synchronization within,1011011000010001111101
provided system,1111100001010110010001
content form,0011100000001111100000
network shall,1101100011110101110100
easy meeting,0110011100111000100100
shall receive,1010111010011101110100
internal parameter,0100101101111010110001
provide end,1111100011001101101000
time due,1001000110101100110111
track number,1001001110011011010011
include html,0101111101001010111011
product price,1111101001011111101111
criteria within,0010111111110001111101
users read,1001101011111101011100
use ppcast,1001111010111110101111
undesired events,1001010000101101011110
trail information,1001001011101011011111
backup disk,0001110011101100000101
another peer,0000101101011010001001
interactions make,0100100010011000011110
attend shall,0001101001110101110100
lower priority,1100000110111111111010
service broadcast,1010111101100010110010
download times,0110001001010010001111
live chat,0100000111100110010111
constraints stated,0011100110010111110111
processing pipeline,1111111000111110011001
member id,1100010011101010101010
selected time,1010010000110010001101
change contain,0011001101100111000010
able perform,0000000001111010000111
associated content,0001101111000111000000
pages different,1101011011100100000111
information technology,0101101111110110001101
members librarian,1100010011001000010010
captcha images,0001000011001011100001
use case,1001111010100110000110
delivering output,0010011111011010101010
apply pages,0000100011011010110111
none extended,1101100101101111000100
system able,1011001000100000000011
used windowing,1001111011110001110111
also focuses,0000111000101111101100
based basic,0001010000000010100011
system shall,1011001000110101110100
form backup,0111110000000011100111
presented order,1111110010111010100010
searches communication,1010011100100111100001
view broadcasts,1001100000100010010000
information application,0101101111100001000100
communication channel,0011110000100110011101
system different,1011001000100100000111
mode mobile,1100111010011001111101
item location,0100111100001000000100
complete requested,0011110100111100010001
software compatible,1010100001100111101101
data made,0010110001111000001110
users information,1001101011101011011111
piped input,1111001100001011001111
features users,0111101010110011010111
meeting accommodate,1100010010000000001011
ids passwords,0101010001111010011010
final results,0111111011110100000000
scan product,1010011001011111010010
access paths,0000000110111010011001
uc module,1001011100011001110011
high level,0101001011001000010001
customer package,0010110100111010111100
lower quality,1100000110111101000111
two peers,1001011111111010001011
suspect property,1011011001011111001011
peer connection,1101000100100111011111
scheme website,1010011011110001010100
user interfaces,1001111001001001011000
cases dealing,0011000011100100100111
hardware communicate,0101001100000110100000
need set,1100100000010101111111
administrator shall,0000110000010101110100
http secure,0101011100110100101111
system triggers,1011001000110010110111
give product,0111000100011111010010
users user,1001101011110011110010
json string,0100110110010111100001
values previous,1001100101111111101101
pages usually,1101011011110011011101
specification ppcast,1011100111111110101111
screen size,1010011110010101001110
consistently navigation,0011100101111001000110
studies research,1011010001011100011111
users view,1001101011110011000001
item click,0100111100000110110100
frames shall,0111010101110101110100
solid underlines,1010100000110010100111
different locations,0010000011101000000101
features potential,0111101010111110101001
police cut,1111011000100101100100
count data,0010101011100101100011
arate accounts,0001100000100000011111
customer get,0010110100101110011001
specification ppcast,1011100111111110101111
related documents,1110010011101100010100
user based,1001111001000010100000
users administrators,1001101011100001100001
normally appropriate,1101101010000001000001
users prefer,1001101011111110100010
large amount,0100010101100001010101
adaptability product,0000011101111111010010
error occurred,0110101001111011110111
standard encryption,1011101001001101101001
reason error,1110111000101101010011
research department,1110001111100100110101
name product,1100100101111111010010
cctns gives,0011000101101110001011
action date,0000011001100100100001
via https,1001100001001010111000
system parameters,1011001000111010110000
modify anything,1100111001000001011000
capable automatically,0001000010100011111010
tested working,1011000001010001101001
results level,1010000000001000010001
printerfriendly version,1111110100010011000101
human thus,0101010100010010001100
access cases,0000000110100110000111
users form,1001101011101111100000
assume video,0001101111110011000011
well calls,1000101011100010001000
changes menu,0011001111011000100000
overflows computation,1101011100000111111101
user unable,1001111001010010101011
small problems,1010100010111111110100
customizable userconfigurable,0010110111110011110001
downtime period,0110001000111010000000
users within,1001101011110001111101
