lambda_gram,embedding
to avoid people,011110110001010000100000110101010111101100
hallucinations moving people,001101100000110100111001011101010111101100
excited because i,001010011110010000101001010000111011001000
a game sometimes,000000000000000011000111010101101111010101
lot in my,010001111100110011110001011001001111000111
as lost as,000001101001110100011111001000000110100111
was almost in,100001000011000000001110101100111100010110
of the superior,010100101011000111100011110001110101001101
is freaking awesome,001111111101100011000010001100001000011011
just hate the,010000100000100011011011101101111000111100
cute hairstyle starts,000111000100100011010111110101110001111010
some simply transferred,011011110011000110110001011101111100100111
wont ever keep,100001110111000010100101011001000010011000
forward to being,001100000001110111101100010100001010110110
and fans cheering,000001000111100010110000000000010011001100
nothing but sincere,010100011010000001000000001001101100011101
my parent s,010011110001110101011001001101100110100111
some guys can,011011110011000011010110101000010000101100
rampant in their,011000000001010011110001011001111001000001
a little ballistic,000000000000000100011011001100001001001101
adding that it,000000011010100111100011100101000000000110
it managed in,010000000001100100100101000000111100010110
or interests that,010100111110100011111011101001111000111001
is my eye,001111111101100100111100011100101011001000
thoughts of sex,011110011101100101001010110001101010000110
useful to check,100000010101110111101100010100010011000011
i feel pathetic,001110110010000010110011000101010110111100
theyre so cute,011110010111010110111010110100011100010010
and ballet flats,000001000111100000100100110000101110011100
worthwhile smart and,100001111111010110110111110000000100011110
of my work,010100101011000100111100011110000111100110
her girl loves,001110000011010011001011110001001000000001
low but i,010010000000110001000000001000111011001000
not like myself,010100011000110100011000101001001111001010
after vacation and,000000100111101000000110100000000100011110
characters on there,000100101100000101001101001101111001010010
lot of love,010001111100110101001010110001000111111100
currently but i,000111000001110001000000001000111011001000
mda telethon makes,010010100101110111011111101001001001000001
al feeling rather,000000110010110010110011010101100000010111
i can refer,001110110010000001000010110001100001110111
over how it,010101001100110011101001000101000000000110
i recommend the,001110110010000110000110010101111000111100
and you re,000001000111101000100100011001100000011110
put weight on,010111110001111000010100000001010011010011
a little pick,000000000000000100011011001101011000111001
miserable wouldnt be,010011000111101000100000000100001010000110
im like the,001110111010110100011000101001111000111100
the shoulders separately,011110001111000110101110001001101001100001
the claustrophobic feeling,011110001111000001010001110000101100110101
more sociable shes,010011011010010110111011001101101010110101
slutty feels like,011011011110000010110011100001000110001010
not being complacent,010100011000110000101011011000010110110101
tell you directly,011101111111001000100100011000100000110111
perfume i feel,010101111110110011101100100000101100110001
to cry i,011110110001010001101111000100111011001000
a mellow week,000000000000000100101011111010000100110110
inspired about things,001111100100100000000001011001111001100100
feel less doubtful,001011001100010100010101011000100011011011
to become part,011110110001010000101001010101010110011010
another year with,000001001111011000100010111110000110111111
someone that people,011011110100000111100011100101010111101100
im feeling horny,001110111010110010110011010100111001111010
wrong or i,100010000101010101001111101000111011001000
sure my topic,011101011000110100111100011101111011101001
boy who helped,000011100010101000010111101000111000000011
or for wishing,010100111110100010111110011010000110111010
in n give,001111000101100100111100111000110010111111
and so full,000001000111100110111010110100110001010110
skeptical of her,011011010000000101001010110000111000001101
the season is,011110001111000110100010011100111111110110
more easily than,010011011010010010010101011101111000110000
think i posted,011110011001010011101100100001011011010100
feeling to you,001011001101010111101100010110001001000110
yet must act,100010001110110100111100000100000001010100
answer some of,000001001111100110111100110001010010101100
refuse to cut,011000100001000111101100010100011100010001
tried every diet,011111010010110010100101011100100000011010
s also an,011001101001110000001111010000000100011000
to take risks,011110110001010111011011010101100101011000
or feeling or,010100111110100010110011010101010011111010
feel has such,001011001100010011011011010001110100100000
to see anyone,011110110001010110100011011100000101001101
of the romantic,010100101011000111100011110001100101110011
couldn t turn,000110011101110111011010100001111110000110
overwhelmed by these,010101010001100001000000110001111001010111
a while till,000000000000001000010110011101111010101100
always really feel,000000111111010110000100000000101100110001
by the sea,000100000011000111100011110001101000100010
able to call,000000000100000111101100010100010000011100
chalk up some,000100100110111000000011101001101111001100
project by deciding,010111011100110001000000110000011101101100
threatened that it,011110011110110111100011100101000000000110
stop loving me,011100101101010100100000001001001010011000
feel cute as,001011001100010001110001001000000110100111
that feeling slightly,011110001110010010110011010101101101100011
when my beloved,100001010111100100111100011100001011001001
like i missed,010001100010100011101100100001001100100110
do more things,001000101011110100110110100101111001100100
the person receiving,011110001111000101100000101001100001010010
if you will,001110110110101000100100011010000110010111
feels like and,001011001110000100011000101000000100011110
retiring and modest,011001001001100000010001111001001100111111
up feeling fabulous,100000001110100010110011010100101011010100
odd jades hair,010100101010000100000001100000110101111000
and doing is,000001000111100010001011110100111111110110
how creatively stimulating,001110100100010001101011111001110010100110
my sorrows in,010011110001110110111110111000111100010110
of intelligent and,010100101011000011111010011100000100011110
my baby boy,010011110001110000100010110100001110001010
also hate the,000000111101000011011011101101111000111100
artistry but knowing,000001101000110001000000001001000011010100
me when i,010010100110001000010101111000111011001000
and at life,000001000111100000011101001001000101111001
devoted father and,001000000000110010110001000000000100011110
faith and a,001010111010110000010001111000000000000000
someone who cares,011011110100001000010111101000010001010001
i felt that,001110110010000010110011111001111000111001
time im feeling,011110101011100011101110101100101100110101
at all life,000001110100100000001101110001000101111001
like to say,010001100010100111101100010101100111100100
any tragic estrangement,000001010010100111110001011100101000111011
i am missing,001110110010000000001111111001001100100111
them but there,011110010000110001000000001001111001010010
helps but i,001110000010000001000000001000111011001000
feel unsure or,001011001100011000000010111001010011111010
