lambda_gram,embedding
érase,0101010101010011
vez,0101010000111001
familia,0010001100010011
oso,0011100000000000
vivir,0101010010000100
lindo,0011000101101000
casita,0000100100110111
bosque,0000011100011001
papá,0011100001101001
grande,0010010101010001
mamá,0011001100100001
ós,0101010101100010
tamaño,0101000001011001
mediano,0011010000000011
osito,0011011110011001
pequeño,0011100110010100
mañana,0011001110010101
servir,0100100001010100
deliciós,0001010101000000
avén,0000010110001000
desayuno,0001010110010000
demasiado,0001010101000011
caliente,0000100000011001
comer,0001000100110010
tres,0101001001110011
decidir,0001010010001000
ir,0010100110000110
paseo,0011100100000101
mientras,0011010001100110
enfriar,0001100110000000
cabo,0000011110010111
minuto,0011010010000010
niña,0011011001010101
llamado,0011000101110101
ricito,0100011001101001
oro,0011011110010010
llegar,0011000110000111
casa,0000100100100111
tocar,0101000101111000
puerta,0100001101000011
encontrar,0001100101010100
respuesta,0100011000110100
abrir,0000000001000010
entrar,0010000000110010
permiso,0100000000100001
cocina,0001000001110001
més,0011010110011000
taza,0101000001111000
mediana,0011010000000010
gran,0010010101010000
apetito,0000001101101001
ver,0101010000010100
primero,0100001001010101
probar,0100001001110001
frío,0010010001000111
gustar,0010011000011001
luego,0011001001001001
tampoco,0101000001100000
último,0101010101100011
fría,0010010001000110
perfecta,0100000000001001
tanto,0101000001100011
todo,0101000110000011
dejar,0001010100010101
poquito,0100000110000001
después,0001011001100100
sala,0100011101010110
silla,0100100010000001
sentar,0100100000110110
alto,0000001001110110
ancho,0000001100010110
entonces,0010000000101000
frágil,0010010001000101
romper,0100011100000001
bajo,0000011000011001
peso,0100000001000111
pueblito,0100001100110111
lejano,0011000100100111
cerdita,0000100110001001
junto,0011000001011001
cerdito,0000100110010000
feliz,0010001101000011
día,0001100001010110
decir,0001010010010000
hijito,0010011100101000
tú,0101001100010100
crecido,0001001101010101
tiempo,0101000101000010
adulto,0000000101010000
vivar,0101010010000001
mismo,0011010010010101
él,0101010101010001
mundo,0011010101110100
fácil,0010010001101000
deber,0001010001110010
aprender,0000001110010011
trabajar,0101001000110000
lograr,0011001000110110
sueño,0100100110000110
despedir,0001011001001001
besito,0000011001110011
mejillar,0011010000010010
menor,0011010000100111
perezoso,0100000000000111
prestar,0100001001000011
atención,0000010100100101
palabra,0011100000111000
construir,0001001001010010
pajar,0011100000110100
terminar,0101000100110000
temprano,0101000100010010
acostar,0000000100000110
descansar,0001010110010011
medio,0011010000000111
palo,0011100001000111
quedar,0100001110000111
chueca,0001000000101000
querer,0100010000000001
leer,0011000100100101
instrucción,0010100100111000
mayor,0011001110010000
aplicado,0000001101110110
mucho,0011010101100000
ladrillo,0011000010000101
construcción,0001001001010000
casito,0000100100111000
tomar,0101000110001000
importar,0010100001010001
nuevo,0011011010000111
hogar,0010011101000001
albergar,0000001000100100
temible,0101000100000011
lobo,0011001000101000
feroz,0010001101010000
hablar,0010011001000001
merodear,0011010001000110
dormir,0001100000011000
tranquilamente,0101001001000110
través,0101001001100110
ventana,0101010000000110
joven,0011000000110000
bello,0000011001100110
princesa,0100001001010111
blancaniev,0000011010010000
reino,0100010101100110
padre,0011100000100100
madrastrar,0011001001111001
madrastro,0011001010000000
reina,0100010101100011
hermoso,0010011100000111
arrogante,0000010001100001
orgulloso,0011011110000110
pasar,0011100100000010
contemplar,0001001001100011
frente,0010010000101000
espejo,0010000101100001
mágico,0011010110001001
parar,0011100001110100
preguntar,0100001000010101
espejito,0010000101100000
quién,0100010000100010
hermosar,0010011100000110
responder,0100011000110010
mujer,0011010101101000
satisfecho,0100100000000000
pues,0100001101000101
saber,0100011100111000
siempre,0100100001100100
verdad,0101010000011000
embargo,0001100100000000
año,0000011000010010
belleza,0000011001100101
bondad,0000011100010000
hacer,0010011001000100
evidente,0010001001000000
buena,0000011101010110
cualidad,0001001110001001
superar,0100100110011001
físico,0010010001110010
fin,0010001101110011
contestar,0001001001101001
ser,0100100001000101
aún,0000011000010011
molinero,0011010100100010
pobre,0100000101000000
hijo,0010011100101001
herencia,0010011010010101
molino,0011010100100011
asno,0000010010001000
gato,0010010010010110
reparto,0100010110010100
segundo,0100100000010011
este,0010001000000101
lamentar,0011000010010000
suerte,0100100110000100
cuanto,0001001110010010
cuál,0001010001000001
parte,0011100010010010
hermano,0010011100000010
fortuna,0010010000010010
sólo,0101000000111001
escuchar,0010000100100010
amar,0000001010001001
decidido,0001010010000111
ayudar,0000010110010101
preocupe,0100001000101001
señor,0100100001011001
poder,0100000101001001
útil,0101010101100110
valioso,0101001101010101
pensar,0011100110000100
pedir,0011100101010000
favor,0010001100110011
regalar,0100010101001000
saco,0100011101010001
par,0011100001110001
bota,0000011100100001
andar,0000001100100000
matorral,0011001110001000
aunque,0000010101101000
amo,0000001100000111
creer,0001001101011000
palabras,0011100000111001
dar,0001010001100011
animal,0000001100110010
astuto,0000010100000000
poner,0100000101110100
plan,0100000100001000
marcha,0011001101100100
reunir,0100011001010001
zanahoria,0101010100100010
boscar,0000011100011000
cazar,0000100101100000
conejo,0001001000000110
lleno,0011000110011001
dirigir,0001011101000111
hacia,0010011001010000
palacio,0011100001000001
real,0100010001110010
conseguir,0001001000110100
recibir,0100010010010011
rey,0100011001100010
majestad,0011001010011001
botas,0000011100100010
leal,0011000100010110
servidor,0100100001010011
marqués,0011001101110111
carabás,0000100010010101
nombre,0011011001101001
ocurrir,0011011100011001
ofrecer,0011011100110001
regalo,0100010101010000
anciano,0000001100011000
carpinterir,0000100100010101
gepeto,0010010100010011
juguete,0011000001010011
madero,0011001001110111
niño,0011011001011000
pueblo,0100001100111000
marioneta,0011001101110011
pino,0100000010000001
especial,0010000101010011
llamar,0011000101110110
pinocho,0100000010000010
noche,0011011001100001
hado,0010011001010100
azul,0000011000000111
taller,0101000001010111
carpintero,0000100100010110
buen,0000011101010101
hecho,0010011010000110
demá,0001010101001001
merez,0011010001000011
desear,0001011000011001
realidad,0100010001110011
sonreir,0100100101000001
varita,0101001101101000
despertar,0001011001010010
vida,0101010001000111
cerrar,0000100110010110
ojo,0011011101000000
si,0100100001100001
valiente,0101001101010100
sincero,0100100010010010
desinteresado,0001011001000000
alguno,0000001001010011
volver,0101010010010111
grillo,0010010101101001
pepe,0011100110000111
alacena,0000001000011001
conciencia,0001000110010010
guardián,0010011000000011
conocimiento,0001001000101000
bien,0000011010000010
mal,0011001100000010
siguiente,0100100001110101
enviar,0010000001011000
orgullo,0011011110000101
madera,0011001001110110
escuela,0010000100100110
vender,0101001110010100
abrigo,0000000001000001
comprar,0001000101110100
libro,0011000101010111
escolar,0010000100000011
mostrar,0011010101010110
camino,0000100001010000
distraiga,0001011110000001
atrás,0000010101011000
anhelar,0000001100101001
esperar,0010000101110000
luz,0011001001011000
agraciado,0000000101111000
reinar,0100010101100101
vanidós,0101001101100001
superficial,0101000000000001
sentir,0100100000111001
decepcionado,0001010010000010
apariencia,0000001101011000
presente,0100001000111001
nacimiento,0011011000001000
otorgar,0011100000000010
sabidurío,0100011101000001
además,0000000100101000
dotar,0001100000100011
don,0001100000010100
impartir,0010100000111001
persona,0100000000101001
sabiduría,0100011101000000
poseer,0100000110010100
consolar,0001001001000100
transcurrir,0101001001001001
consuelo,0001001001010100
convertir,0001001100000000
tan,0101000001100001
pronto,0100001100000000
comenzar,0001000100110000
cautivar,0000100101010010
acto,0000000100010001
noblezo,0011011001100000
sabiduer,0100011100111001
cierto,0001000000110111
olvidé,0011011101010110
mencionar,0011010000100110
príncipe,0100001100101000
nacer,0011011000000110
mechón,0011001110011001
pelo,0011100101110100
cabezar,0000011110010101
razón,0100010001101000
riquete,0100011001111000
copetir,0001001100010011
apellido,0000001101100100
familio,0010001100010101
siete,0100100001101000
u,0101001100010101
ocho,0011011100010010
país,0011100101000001
vecino,0101001101111000
dos,0001100000100001
hija,0010011100100101
hermosura,0010011100001000
comparación,0001000101001001
asistido,0000010010000110
copete,0001001100010010
advertir,0000000101010011
inteligente,0010100101000111
aquel,0000010000010011
afligeír,0000000101100000
instante,0010100100110111
pena,0011100110000000
resultar,0100011001000000
carecer,0000100100000001
horripilante,0010011101100100
ogro,0011011100110011
crear,0001001101010010
bueno,0000011101010111
feo,0010001101000110
perverso,0100000000110100
maldad,0011001100000110
volar,0101010010010010
espacio,0010000101000100
caer,0000100000001001
quebrar,0100001110000100
millón,0011010001110011
fragmento,0010010000100000
cristal,0001001101110001
tierra,0101000101000110
alcanzar,0000001000110010
alguien,0000001001010010
alojara,0000001001110001
corazón,0001001100010111
hielo,0010011100011001
ciudad,0001000001010111
amistad,0000001100000101
gerda,0010010100010100
kai,0011000001110000
construido,0001001001010001
habitacione,0010011000110011
uno,0101001100100010
enorme,0010000000000011
jardinera,0011000000000111
rosal,0100011100001001
delicioso,0001010100111001
vegetal,0101001101111001
sentado,0100100000110101
ventanar,0101010000000111
tallo,0101000001011000
crecer,0001001101010100
repleto,0100011000000000
rosa,0100011100000111
deleite,0001010100101001
negado,0011011000110100
invierno,0010100101110111
opacada,0011011101100000
nieve,0011011001001000
congelado,0001001000100000
abuela,0000000001000110
contar,0001001001100001
historia,0010011100110110
niev,0011011001000111
copo,0001001100010101
nievir,0011011001001001
enjambre,0001100110010101
abeja,0000000000110000
blanco,0000011010010001
acerca,0000000010000001
mirar,0011010010010000
congela,0001001000011000
formar,0010010000000100
flores,0010001110010101
hermanastra,0010011100000000
obligar,0011011010011001
trabajo,0101001000110001
cocinar,0001000001110011
limpiar,0011000101100110
lavarl,0011000100010101
ropa,0100011100000101
cansado,0000100001101001
dormido,0001100000010111
cerca,0000100110000110
chimenea,0001000000010110
levantar,0011000100110111
cara,0000100010010100
sucio,0100100101111000
ceniza,0000100110000000
reír,0100011001100101
ceniciento,0000100101111001
invitación,0010100101111001
baile,0000011000010110
celebrar,0000100101101000
cumpleaños,0001010000101001
invitadas,0010100110000000
fiesta,0010001101100001
irá,0010100110010101
quedarás,0100001110001001
casar,0000100100101001
preparar,0100001000110010
cena,0000100101110110
regresar,0100010101100001
salir,0100011101110000
burlar,0000011101100110
cenicienta,0000100101111000
correr,0001001100100101
jardín,0011000000010001
banco,0000011000101000
llorar,0011001000010111
repente,0100010110010110
aparecer,0000001101010110
hada,0010011001010010
madrín,0011001010000111
llor,0011001000010110
agitar,0000000101110011
transformar,0101001001010011
calabaza,0000100000010010
coche,0001000001101001
ratón,0100010001100100
campo,0000100001100000
caballo,0000011110001001
perro,0100000000100110
viejo,0101010001010100
cochero,0001000001110000
remoto,0100010110000001
emperador,0001100100010100
cuyo,0001010001000000
único,0101010101100101
interés,0010100101100000
vestir,0101010000110101
modo,0011010100001000
vanidad,0101001101011001
cambiar,0000100000110111
